"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7i-3p",143.323203324147,0.670945283317473,0.339046503453429,1.97891816161919,0.047825221106313,0.389314080584723
"hsa-let-7i-5p",3431.15668458491,0.770148176844678,0.208247627085486,3.69823266475219,0.000217105844300034,0.00503685558776078
"hsa-miR-1-3p",1.28681769929874,3.64291572289765,3.08117386659692,1.18231423497083,0.237081039373073,NA
"hsa-miR-100-3p",0.233293442366843,1.15123178997411,4.98642596834079,0.230873133840424,0.817413363011931,NA
"hsa-miR-100-5p",2.57363539859748,4.64289123750145,2.41820345554313,1.91997543749215,0.0548610020479054,NA
"hsa-miR-101-2-5p",0.264571755511477,-1.77715971254541,4.99323500457025,-0.355913493139978,0.721905350548007,NA
"hsa-miR-101-3p",112.088080338682,-0.000173109746058678,0.354273371844099,-0.000488633241492551,0.999610127096233,0.999610127096233
"hsa-miR-101-5p",0.707417186033208,0.509879696211873,4.00106281926637,0.127436063677042,0.898595274227387,NA
"hsa-miR-10394-3p",0.99573039575664,-0.212787766177346,3.42782153097501,-0.0620766758871548,0.950501771113792,NA
"hsa-miR-10395-3p",28.7522549250775,-0.234047858605569,0.632372671532916,-0.370110646999055,0.711300049379551,0.981276468474986
"hsa-miR-10396a-3p",0,NA,NA,NA,NA,NA
"hsa-miR-10396a-5p",1.52487390677959,-1.21427284873415,2.88735855508923,-0.420547994149838,0.674085176166245,NA
"hsa-miR-10396b-3p",0.264571755511477,-1.77715971254541,4.99323500457025,-0.355913493139978,0.721905350548007,NA
"hsa-miR-10396b-5p",1.02700870890127,-1.8210764864381,3.4675442893906,-0.525177570769582,0.599459755436277,NA
"hsa-miR-10398-5p",0,NA,NA,NA,NA,NA
"hsa-miR-10399-3p",1.37456748989453,2.00041077089828,2.86515069732888,0.698186930538494,0.485060298784276,NA
"hsa-miR-10399-5p",5.19169670040826,-1.62532214156758,1.45936716527289,-1.11371708247503,0.265400578490818,0.826842506253308
"hsa-miR-103a-1-5p",1.5796251935358,2.24649959304141,2.72338109470602,0.824893584452202,0.409432008976088,NA
"hsa-miR-103a-2-5p",3.51738860141659,2.40311214863197,1.87503343913556,1.28163695562671,0.199970030005955,0.73973173053544
"hsa-miR-103a-3p",725.495153673464,1.01268500471983,0.225119340718625,4.49843625824038,6.84551141099186e-06,0.000264693107891685
"hsa-miR-10400-5p",0,NA,NA,NA,NA,NA
"hsa-miR-10401-3p",0.233293442366843,1.15123178997411,4.98642596834079,0.230873133840424,0.817413363011931,NA
"hsa-miR-10523-5p",0.205057703641264,1.05722352682614,4.99278788595253,0.211750138595051,0.832301969972872,NA
"hsa-miR-10524-5p",6.88136142865724,-1.08154019168995,1.24367960374852,-0.869629274638042,0.384503034159298,0.92189086559648
"hsa-miR-10527-5p",1.26624814587631,0.189266757660683,2.86816686679821,0.0659887539499979,0.947386778987109,NA
"hsa-miR-106a-3p",0.529143511022953,-2.72532408210393,4.86349696596756,-0.560363068215001,0.575231817105811,NA
"hsa-miR-106a-5p",38.5426644943003,0.680365078507802,0.547997279161909,1.24154827839352,0.214403274956914,0.759413126564946
"hsa-miR-106b-3p",253.045327462224,-0.0500106069874684,0.280761751251876,-0.178124715223773,0.858625032466311,0.999610127096233
"hsa-miR-106b-5p",17.5237060259898,-0.074754079855308,0.775144674623149,-0.0964388743193664,0.923172018750158,0.999610127096233
