"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHEK1",101.223982866947,1.63245882979615,0.166783539991176,6.78999156545107,1.12140100825607e-11,2.45601384457536e-09
"TSHR",13.3424474119712,2.82314676369087,0.342263394818141,6.78759925502771,1.1401481905669e-11,2.4650588571436e-09
"KIF18A",28.5086448218709,1.98908959263283,0.222227241048918,6.70075183224293,2.07349923614095e-11,4.42626469851659e-09
"PHKA1",7.01051238899763,3.17192504904886,0.400217600469211,6.67618077245059,2.45249429762317e-11,5.16985797938965e-09
"MZB1",1625.54166497978,2.96161545656379,0.370420627595552,6.64545998029983,3.02271585808768e-11,6.29321978157909e-09
"DSCC1",32.213308429496,1.96118592727071,0.220366977482941,6.63069369086313,3.34112930402575e-11,6.87131763208419e-09
"ARHGAP42",29.9047682379956,2.33473212555325,0.277957160492233,6.60077301949743,4.09019380373255e-11,8.31048533808985e-09
"RAD51",69.7029123557606,1.97062854777653,0.223420509771235,6.58233458191612,4.63117938740875e-11,9.29764395110252e-09
"CENPI",14.2906988186999,2.07826151434215,0.243247694840733,6.48828970558392,8.68162245089157e-11,1.72243389425689e-08
"ANKRD45",7.60959191405744,3.91150929411233,0.52775261350206,6.46422055870882,1.01822268830659e-10,1.99666365297702e-08
"ANLN",75.029627539088,2.37248452405099,0.290153069295374,6.45343690004125,1.0934154127039e-10,2.11946638159064e-08
"H4C8",148.258737673366,2.16172278411247,0.258056748461489,6.43936961160484,1.19970726306322e-10,2.29907537321569e-08
"CCNB1",136.820434243507,1.77318622301482,0.198571197327334,6.41173664736503,1.43871212510426e-10,2.72611699750092e-08
"FAM111B",49.2492756346891,2.06862018648879,0.245686057666976,6.38465284267384,1.71786729685196e-10,3.21890156601238e-08
"DEPDC1",37.8003737828339,2.30292594702736,0.284209056959781,6.34366112858431,2.24368069767869e-10,4.15795948193994e-08
"IGLL5",1793.62278798571,2.8799933803419,0.375465207148885,6.33878541879953,2.31583506422417e-10,4.24502636120396e-08
"TTK",53.1825223620274,2.04382500496789,0.244327220672831,6.31867788090286,2.63810515747344e-10,4.78376401888517e-08
"ALDH1L2",24.1883410923163,2.20957701015361,0.270795473450277,6.3131668649089,2.73382446980037e-10,4.90459743177803e-08
"HELLS",45.1325777212304,1.68629625379291,0.187961732358626,6.31137114404484,2.76574027477626e-10,4.90962568356072e-08
"MCM6",525.155244727265,1.16172542412075,0.105343472069526,6.28159876564558,3.35108800636426e-10,5.88674459784654e-08
"SGO1",31.1061291824051,1.61143831765281,0.177879292751484,6.24827263736429,4.15016790818347e-10,7.21530222717589e-08
"MIXL1",13.8196207182741,2.5666588621885,0.330858297574314,6.24635645332217,4.20137774359252e-10,7.22979941509636e-08
"PLAAT2",25.5094474830292,2.71645949933576,0.355272926415886,6.23875149085004,4.41077056549114e-10,7.51345806226693e-08
"SPAG5",169.441698131408,1.58834407258827,0.175497366935252,6.2014837692112,5.5933289645631e-10,9.43258996583921e-08
"INHBA",58.8781195149601,3.05275588342494,0.412288713203016,6.19167054948684,5.95298776696521e-10,9.93972135664369e-08
"POLE2",35.7402222932787,1.71813607424159,0.19849375088211,6.13689886370815,8.41479182272238e-10,1.39124558135677e-07
"SCD",210.022373175309,1.65010418847481,0.188207572509802,6.11082844934366,9.91152647562189e-10,1.62279594645522e-07
"IGKC",40854.3384065408,2.55973618861466,0.337424337591773,6.10429053018279,1.03258311843381e-09,1.67437324127574e-07
"ABCA13",274.66679448301,2.89510447447229,0.393929209974662,6.0800377677663,1.20154242853172e-09,1.91330980225666e-07
"KIFC1",98.1962949443145,1.92141404253214,0.233789309571446,6.07989323865022,1.20262594306929e-09,1.91330980225666e-07
"CDCA5",124.854521756197,1.94286102543064,0.238212506704887,6.05703304746359,1.38655111551942e-09,2.18530822543173e-07
"SUCNR1",97.3717017740239,1.89985235566565,0.232811037735857,6.01282640754299,1.82316239365408e-09,2.8468343154243e-07
"RAD51AP1",56.893510244654,1.77296927936142,0.212845974567432,5.98070638614839,2.22172029622939e-09,3.43734780510205e-07
"DEFA1",13417.063304174,3.50582438957455,0.504205655435815,5.96150470977252,2.49925712804708e-09,3.83158838248963e-07
"SMTNL1",68.7966540517372,2.68521198045535,0.36804686162955,5.93731996730034,2.89718904975583e-09,4.40163929144885e-07
"GINS4",56.3367100157259,1.35050566780182,0.145243102211063,5.85573879140839,4.74894126886847e-09,7.15054871055338e-07
"RPH3A",1710.68723671254,2.33147939086388,0.313025600239747,5.85089331179668,4.88939791242875e-09,7.29688552169898e-07
"IGLC1",5312.74831966194,2.85188696696676,0.40387446030766,5.82331193999037,5.76927267603587e-09,8.53447494812886e-07
"CCNB2",114.006740864038,1.89454876171059,0.239633696362566,5.81950194350227,5.90232377447304e-09,8.65537288110551e-07
"CAV1",53.206101172339,2.36064719754439,0.320006019745029,5.81441311331237,6.08469794355216e-09,8.83232757119331e-07
"CEP128",66.9476594653272,1.61393208473633,0.19162004144743,5.81323371147444,6.12774149566898e-09,8.83232757119331e-07
"SLC2A5",232.517936922819,2.1064417243186,0.277659945380485,5.78564445843006,7.22348528925163e-09,1.03234623659271e-06
"USP18",451.779204183301,2.91174820774945,0.41742935540588,5.77762003681901,7.576466685475e-09,1.07369356457017e-06
"CENPA",36.5980620842368,2.07565262082925,0.274018846906396,5.75016148932081,8.91582467239488e-09,1.25297056062723e-06
"DENND5B",106.514658827244,1.91565920814248,0.246944252216595,5.73270766756217,9.88399041818765e-09,1.3551513366855e-06
"MET",8.64783325686546,3.05370139585826,0.445285543381167,5.73497485785717,9.7526812233841e-09,1.3551513366855e-06
"TRAM2",461.949147740485,1.44034775508786,0.164017197809257,5.73322656189649,9.85378673547081e-09,1.3551513366855e-06
"PARPBP",55.667225184671,1.34683803699594,0.148068866052027,5.719217412649,1.0701579252831e-08,1.45541477838501e-06
"PYCR1",50.953121918188,2.27756856004487,0.311169750105752,5.71253651565024,1.11304522836762e-08,1.50163157849533e-06
"LMAN1",741.03931561816,1.56003533158597,0.18622691204534,5.69217048139578,1.25434516182355e-08,1.67883149277717e-06
"FOXM1",123.653147970824,1.66087112951678,0.204590268117867,5.67412683015785,1.39397829342385e-08,1.85102755435432e-06
"WDHD1",71.5896329477266,1.3342366008966,0.147642788049152,5.65037149406088,1.60101456518975e-08,2.1093366896375e-06
"MND1",26.6412915229541,1.85880451663207,0.240868641491745,5.64126782223179,1.68802552023947e-08,2.2067335173115e-06
"SPATS2",158.08635352126,1.4146720877062,0.163220153835701,5.60391634373116,2.09561881229341e-08,2.71850120388585e-06
"GBGT1",330.971025712155,-1.27082723868096,0.137662630559732,-5.59939349950528,2.15103032611939e-08,2.76908209310515e-06
"ATAD2",305.527875572334,1.29640203126807,0.142636899279879,5.58342220904134,2.35831288710436e-08,3.01292337334303e-06
"GINS2",106.2069419107,1.75472674671554,0.225869531014264,5.55509519624541,2.77460505761349e-08,3.51811576628525e-06
"CIP2A",66.7768747231729,1.50877771171646,0.181663252018633,5.55300921076205,2.80793273687148e-08,3.53380430407468e-06
"CIT",33.5284912403619,1.78206214032144,0.23115869320965,5.54624237799559,2.918741532972e-08,3.64604868237332e-06
"EPSTI1",4746.5399962631,2.08447685101414,0.28608603958199,5.53846267133228,3.0513826632141e-08,3.78371450238548e-06
"NUF2",84.3481723711776,1.72774774990445,0.221808222326225,5.53517690655641,3.10914375968922e-08,3.82719710681744e-06
"CDC20",138.788423300393,2.03269109749639,0.277012210525086,5.53293695823417,3.14912679770025e-08,3.83119816206395e-06
"PCLAF",218.307969682794,1.6012397052293,0.199050891739852,5.53245301040176,3.15783055340898e-08,3.83119816206395e-06
"CDCA3",40.6389910407095,1.88782185712277,0.250928582059807,5.53074442827716,3.18874626917061e-08,3.84107264880665e-06
"FBXO16",4.01271166309713,3.48686028904802,0.542038575046388,5.51042015559944,3.57978167928877e-08,4.28152044251956e-06
"FBXO43",5.92876112302516,2.24844089857885,0.31909866013645,5.47931131340758,4.26984517160106e-08,5.07089218125918e-06
"BHLHE41",29.4578595130132,2.01772370448505,0.277409060444597,5.47106753489822,4.47332779760216e-08,5.25242884648575e-06
"CDCA7",85.0327655945962,1.47207296489219,0.177690183261491,5.47060589983001,4.48499616872597e-08,5.25242884648575e-06
"TENT5C",1563.39416628276,1.57670811855634,0.197037382078147,5.46448652129019,4.64248652667369e-08,5.3993719162638e-06
"FAM83D",20.1032915027244,1.63704636322841,0.208454264655233,5.45465627728458,4.90676654084458e-08,5.66765143457554e-06
"EME1",20.9374849017734,1.64170681863235,0.210820899437613,5.41552958780639,6.11075655474015e-08,7.01032643123387e-06
"ZNF215",17.4309384524116,1.89858263479125,0.258718232074428,5.40581397598957,6.45147282819315e-08,7.35119174153035e-06
"HESX1",28.2937026380523,2.46693311379683,0.364469321518298,5.39670418789441,6.78761574732241e-08,7.64273432811942e-06
"MYBL2",391.712799954632,2.00154002856575,0.278246894940823,5.39643049344753,6.79797289621628e-08,7.64273432811942e-06
"ERCC6L",28.2112457739132,1.63819456166377,0.211350625064897,5.38533804342558,7.23086189990445e-08,8.07557980662177e-06
"MOXD1",16.9060820500099,2.00519935319279,0.280118529902408,5.373437286413,7.72496808231469e-08,8.57064879869441e-06
"PRC1",177.070642938751,1.59387265317701,0.204501474712836,5.34897195588954,8.84552456880564e-08,9.74973374695022e-06
"NCAPG2",164.702742314449,1.46363838537988,0.181309429366094,5.31488289797731,1.06725938623282e-07,1.16871833048249e-05
"KIF2C",120.514891225598,1.77028957174151,0.240501344073323,5.28183980275065,1.27893006901821e-07,1.39147591509182e-05
"CEACAM6",889.123545204593,2.31097726176281,0.343123468898753,5.27791721031237,1.3066046898894e-07,1.4124731724548e-05
"IFI44L",5414.63104465551,2.75927865909448,0.428309939905286,5.27486861405571,1.32851231711254e-07,1.4270083895405e-05
"BRCA2",92.0591195315741,1.37777620413622,0.166608541322644,5.26849462319203,1.3754707070057e-07,1.46809734195849e-05
"CHAC2",74.0956802819593,1.50650702223451,0.192561557642939,5.22693643816927,1.72341712936018e-07,1.82790606726604e-05
"TCF19",221.617476544936,1.33349454720633,0.159542858153398,5.2242673652301,1.74845991250011e-07,1.84287674777511e-05
"FAM3D",5.52235782192787,-2.03648899341202,0.295287048594687,-5.20337414297168,1.95702306316817e-07,2.04989049299801e-05
"CMPK2",2083.20865744434,2.35308885473945,0.35699498400677,5.19079801609848,2.09394680734166e-07,2.17977277524751e-05
"UHRF1",116.134711190042,1.37245380789947,0.168156367584235,5.18834832384466,2.12167468567305e-07,2.19508723307916e-05
"OASL",4280.45873202881,1.89108778756543,0.268375269426218,5.183368015017,2.17914453691614e-07,2.24079838235085e-05
"FBXO39",12.9591997746734,3.07621372972709,0.497688321199048,5.17635962105838,2.26257146561715e-07,2.3124851634041e-05
"TARM1",48.5316947325899,2.29805529263947,0.348912586993439,5.1533116306672,2.55926139175232e-07,2.59996289822356e-05
"NDUFC2-KCTD14",40.6407843363278,2.88344892625102,0.462832355878505,5.14970246997314,2.60899997550268e-07,2.63462129262738e-05
